Date,ON,ON C,BC,BC C,QC,QC C,AB,AB C,SK,SK C,NS,NS C,MB,MB C,NB,NB C,NL,NL C,PE,PE C,YT,YT C,NT,NT C,NU,NU C,ON,ON C,BC,BC C,QC,QC C,AB,AB C,SK,SK C,NS,NS C,MB,MB C,NB,NB C,NL,NL C,PE,PE C,YT,YT C,NT,NT C,NU,NU C
01-Mar,4,15,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Mar,3,18,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Mar,2,20,4,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Mar,0,20,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Mar,2,22,8,21,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-Mar,6,28,0,21,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-Mar,0,28,6,27,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-Mar,3,31,0,27,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-Mar,4,35,5,32,1,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Mar,1,36,7,39,2,7,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Mar,6,42,7,46,2,9,5,19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Mar,17,59,7,53,8,17,4,23,1,1,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Mar,20,79,11,64,0,17,6,29,1,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Mar,24,103,9,73,7,24,10,39,4,6,0,0,0,4,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Mar,42,145,0,73,15,39,17,56,0,6,3,3,3,7,4,6,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Mar,32,177,30,103,11,50,18,74,1,7,2,5,1,8,1,7,0,1,0,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Mar,12,189,83,186,24,74,23,97,1,8,2,7,7,15,1,8,2,3,0,1,0,0,0,0,0,0,1,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Mar,25,214,45,231,20,94,22,119,8,16,5,12,2,17,3,11,0,3,0,1,0,0,0,0,0,0,0,1,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Mar,44,258,40,271,27,121,27,146,4,20,2,14,0,17,0,11,0,3,1,2,0,0,0,0,0,0,1,2,1,8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Mar,60,318,77,348,18,139,49,195,6,26,1,15,0,17,0,11,1,4,0,2,0,0,0,0,0,0,0,2,1,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Mar,59,377,76,424,42,181,31,226,18,44,6,21,2,19,6,17,2,6,0,2,0,0,1,1,0,0,1,3,1,10,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Mar,48,425,0,424,38,219,33,259,8,52,7,28,1,20,0,17,3,9,1,3,2,2,0,1,0,0,2,5,0,10,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Mar,78,503,48,472,409,628,42,301,14,66,13,41,0,20,0,17,15,24,0,3,0,2,0,1,0,0,1,6,3,13,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Mar,85,588,145,617,385,1013,57,358,6,72,10,51,1,21,1,18,11,35,0,3,0,2,0,1,0,0,2,8,0,13,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Mar,100,688,42,659,326,1339,61,419,14,86,17,68,14,35,8,26,32,67,2,5,1,3,0,1,0,0,5,13,1,14,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Mar,170,858,66,725,290,1629,67,486,9,95,5,73,1,36,7,33,15,82,4,9,0,3,0,1,0,0,2,15,0,14,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Mar,135,993,67,792,392,2021,56,542,9,104,17,90,3,39,12,45,20,102,2,11,1,4,0,1,0,0,3,18,2,16,10,18,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28-Mar,151,1144,92,884,477,2498,79,621,30,134,20,110,25,64,6,51,18,120,0,11,0,4,0,1,0,0,1,19,1,17,4,22,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29-Mar,211,1355,0,884,342,2840,40,661,22,156,12,122,8,72,15,66,15,135,0,11,0,4,0,1,0,0,4,23,0,17,0,22,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30-Mar,351,1706,86,970,590,3430,29,690,20,176,5,127,24,96,2,68,13,148,7,18,1,5,0,1,0,0,10,33,2,19,3,25,5,8,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
31-Mar,260,1966,43,1013,732,4162,64,754,8,184,20,147,7,103,2,70,4,152,3,21,0,5,0,1,0,0,0,33,5,24,6,31,1,9,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
01-Apr,426,2392,53,1066,449,4611,117,871,9,193,26,173,24,127,11,81,23,175,0,21,1,6,1,2,0,0,4,37,1,25,2,33,2,11,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
02-Apr,401,2793,55,1121,907,5518,97,968,13,206,20,193,40,167,10,91,8,183,1,22,0,6,2,4,0,0,16,53,6,31,3,36,2,13,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
03-Apr,462,3255,53,1174,583,6101,107,1075,14,220,14,207,15,182,4,95,12,195,0,22,0,6,0,4,0,0,14,67,4,35,25,61,5,18,0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
04-Apr,375,3630,29,1203,896,6997,106,1181,11,231,29,236,12,194,3,98,8,203,0,22,0,6,0,4,0,0,27,94,3,38,14,75,2,20,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
05-Apr,407,4037,0,1203,947,7944,69,1250,18,249,26,262,9,203,3,101,14,217,0,22,0,6,1,5,0,0,25,119,0,38,19,94,3,23,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
06-Apr,310,4347,63,1266,636,8580,98,1348,4,253,31,293,1,204,2,103,9,226,0,22,1,7,0,5,0,0,13,132,1,39,28,122,1,24,0,3,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0
07-Apr,379,4726,25,1291,760,9340,25,1373,7,260,17,310,13,217,2,105,2,228,0,22,0,7,0,5,0,0,21,153,4,43,28,150,2,26,0,3,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0
08-Apr,550,5276,45,1336,691,10031,50,1423,11,271,32,342,4,221,3,108,4,232,3,25,1,8,0,5,0,0,21,174,5,48,25,175,3,29,0,3,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0
09-Apr,483,5759,34,1370,881,10912,28,1451,7,278,31,373,3,224,3,111,4,236,0,25,0,8,0,5,0,0,26,200,2,50,41,216,3,32,0,3,1,2,0,3,0,0,1,3,0,0,0,0,0,0,0,0
10-Apr,478,6237,40,1410,765,11677,49,1500,7,285,34,407,6,230,1,112,3,239,0,25,0,8,0,5,0,0,22,222,5,55,25,241,7,39,0,3,0,2,1,4,0,0,0,3,0,0,0,0,0,0,0,0
11-Apr,411,6648,35,1445,615,12292,69,1569,4,289,21,428,12,242,0,112,2,241,0,25,0,8,0,5,0,0,31,253,3,58,48,289,1,40,1,4,0,2,0,4,0,0,0,3,0,0,0,0,0,0,0,0
12-Apr,401,7049,0,1445,554,12846,82,1651,9,298,17,445,0,242,2,114,1,242,0,25,0,8,0,5,0,0,21,274,0,58,39,328,4,44,0,4,0,2,0,4,0,0,0,3,0,0,0,0,0,0,0,0
13-Apr,421,7470,45,1490,711,13557,81,1732,2,300,29,474,4,246,2,116,2,244,0,25,0,8,0,5,0,0,17,291,11,69,32,360,2,46,0,4,1,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0
14-Apr,483,7953,27,1517,691,14248,138,1870,1,301,43,517,0,246,0,116,0,244,0,25,0,8,0,5,0,0,43,334,3,72,75,435,2,48,0,4,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0
15-Apr,494,8447,44,1561,612,14860,126,1996,3,304,32,549,0,246,1,117,3,247,1,26,0,8,0,5,0,0,51,385,3,75,52,487,0,48,0,4,0,3,1,5,0,0,0,3,0,0,0,0,0,0,0,0
16-Apr,514,8961,14,1575,997,15857,162,2158,1,305,30,579,4,250,0,117,5,252,0,26,0,8,0,5,0,0,38,423,2,77,143,630,2,50,0,4,0,3,0,5,0,0,0,3,0,0,0,0,0,0,0,0
17-Apr,564,9525,43,1618,941,16798,239,2397,2,307,27,606,0,250,0,117,4,256,0,26,1,9,0,5,0,0,55,478,1,78,58,688,0,50,0,4,1,4,0,5,0,0,0,3,0,0,0,0,0,0,0,0
18-Apr,485,10010,29,1647,723,17521,165,2562,6,313,43,649,3,253,1,118,0,256,0,26,0,9,0,5,0,0,36,514,3,81,117,805,1,51,0,4,3,7,0,5,0,0,0,3,0,0,0,0,0,0,0,0
19-Apr,568,10578,0,1647,836,18357,241,2803,2,315,26,675,0,253,0,118,0,256,0,26,0,9,0,5,0,0,39,553,0,81,72,877,4,55,0,4,2,9,0,5,0,0,0,3,0,0,0,0,0,0,0,0
20-Apr,606,11184,52,1699,962,19319,105,2908,1,316,46,721,1,254,0,118,0,256,0,26,2,11,0,5,0,0,31,584,5,86,62,939,4,59,0,4,0,9,1,6,0,0,0,3,0,0,0,0,0,0,0,0
21-Apr,551,11735,25,1724,807,20126,187,3095,4,320,16,737,1,255,0,118,0,256,0,26,0,11,0,5,0,0,38,622,1,87,102,1041,2,61,0,4,1,10,0,6,0,0,0,3,0,0,0,0,0,0,0,0
22-Apr,510,12245,71,1795,839,20965,306,3401,6,326,35,772,2,257,0,118,0,256,0,26,0,11,0,5,0,0,37,659,3,90,93,1134,5,66,0,4,2,12,0,6,0,0,0,3,0,0,0,0,0,0,0,0
23-Apr,634,12879,29,1824,873,21838,319,3720,5,331,55,827,5,262,0,118,0,256,0,26,0,11,0,5,0,0,54,713,4,94,109,1243,2,68,0,4,4,16,0,6,0,0,0,3,0,0,0,0,0,0,0,0
24-Apr,640,13519,29,1853,778,22616,297,4017,10,341,23,850,1,263,0,118,0,256,0,26,0,11,0,5,0,0,50,763,4,98,97,1340,4,72,0,4,0,16,0,6,0,0,0,3,0,0,0,0,0,0,0,0
25-Apr,476,13995,95,1948,651,23267,216,4233,8,349,15,865,4,267,0,118,1,257,0,26,0,11,0,5,0,0,48,811,2,100,106,1446,1,73,0,4,6,22,0,6,0,0,0,3,0,0,0,0,0,0,0,0
26-Apr,437,14432,0,1948,840,24107,247,4480,4,353,8,873,4,271,0,118,1,258,0,26,0,11,0,5,0,0,24,835,0,100,69,1515,0,73,0,4,2,24,0,6,0,0,0,3,0,0,0,0,0,0,0,0
27-Apr,424,14856,50,1998,875,24982,216,4696,12,365,27,900,1,272,0,118,0,258,0,26,0,11,0,5,0,0,57,892,3,103,84,1599,2,75,1,5,0,24,0,6,0,0,0,3,0,0,0,0,0,0,0,0
28-Apr,527,15383,0,1998,0,24982,0,4696,0,365,0,900,0,272,0,118,0,258,0,26,0,11,0,5,0,0,59,951,0,103,0,1599,0,75,0,5,0,24,0,6,0,0,0,3,0,0,0,0,0,0,0,0
