date,bw-pt,bw-dt,by-pt,by-dt,hb-pt,hb-dt,hh-pt,hh-dt,he-pt,he-dt,ni-pt,ni-dt,nw-pt,nw-dt,rp-pt,rp-dt,sl-pt,sl-dt,sh-pt,sh-dt,bb-pt,bb-dt,mv-pt,mv-dt,sn-pt,sn-dt,st-pt,st-dt,th-pt,th-dt,be-pt,be-dt,de-pt,de-dt
2020-07-16,36227,1838,49538,2613,1697,55,5233,261,11283,514,13887,643,45388,1711,7258,238,2824,174,3235,154,3466,167,805,20,5484,225,1926,62,3310,182,8699,221,200260,9078
2020-07-17,36264,1839,49631,2616,1701,55,5232,260,11324,514,13905,644,45710,1711,7275,238,2827,174,3238,154,3470,167,805,20,5485,225,1936,62,3315,182,8725,221,200843,9082
2020-07-18,36342,1838,49702,2616,1709,55,5237,261,11371,514,13952,644,45910,1712,7293,238,2828,174,3251,154,3476,167,806,20,5488,225,1939,62,3320,182,8748,221,201372,9083
2020-07-19,36342,1838,49710,2616,1718,55,5240,261,11386,514,13963,645,46024,1712,7299,238,2828,174,3253,154,3476,167,806,20,5488,225,1946,62,3321,182,8774,221,201574,9084
2020-07-20,36342,1838,49775,2616,1720,55,5240,261,11409,514,14030,645,46075,1713,7314,238,2830,174,3261,155,3483,167,806,20,5488,225,1950,62,3321,182,8779,221,201823,9086
2020-07-21,36492,1838,49872,2617,1721,55,5241,261,11430,515,14059,646,46213,1714,7338,238,2832,174,3271,155,3485,167,809,20,5501,225,1956,62,3323,182,8802,221,202345,9090
2020-07-22,36556,1838,49954,2617,1725,55,5244,261,11458,515,14101,647,46367,1717,7346,238,2835,174,3278,155,3497,167,811,20,5503,225,1961,62,3326,182,8837,222,202799,9095
2020-07-23,36565,1838,50049,2618,1727,55,5251,261,11534,516,14133,647,46615,1721,7374,238,2840,174,3292,155,3510,167,815,20,5503,225,1973,62,3327,182,8860,222,203368,9101
2020-07-24,36731,1839,50112,2619,1733,55,5275,261,11591,517,14185,647,46956,1726,7397,238,2841,174,3299,155,3523,168,826,20,5506,225,1975,63,3339,182,8894,222,204183,9111
2020-07-25,36819,1841,50260,2619,1742,55,5291,261,11649,518,14222,648,47257,1728,7409,238,2849,174,3311,155,3524,168,843,20,5512,225,1979,63,3340,182,8957,223,204964,9118
2020-07-26,36819,1841,50282,2619,1746,55,5304,261,11680,518,14223,648,47430,1728,7420,238,2850,174,3318,155,3524,168,843,20,5512,225,1986,63,3341,182,8991,223,205269,9118
2020-07-27,36819,1841,50501,2619,1747,55,5322,261,11685,518,14241,648,47471,1728,7434,238,2851,174,3322,155,3524,168,843,20,5512,225,1989,63,3347,182,9001,223,205609,9118
2020-07-28,36917,1841,50589,2619,1752,55,5326,261,11743,518,14288,648,47740,1730,7442,238,2852,174,3341,156,3527,168,845,20,5518,225,1991,64,3351,182,9020,223,206242,9122
2020-07-29,37038,1843,50696,2621,1758,55,5338,261,11806,518,14305,649,47965,1730,7456,239,2857,174,3379,156,3531,168,849,20,5525,225,1997,64,3355,182,9071,223,206926,9128
2020-07-30,37115,1845,50806,2622,1763,55,5356,261,11895,519,14380,649,48301,1732,7488,239,2862,174,3401,156,3551,168,861,20,5532,225,2009,64,3358,182,9150,223,207828,9134
2020-07-31,37224,1847,50915,2622,1774,56,5386,261,11965,520,14430,651,48689,1733,7498,239,2862,174,3427,156,3560,168,864,20,5536,225,2015,64,3361,182,9192,223,208698,9141
2020-08-01,37272,1847,51068,2622,1781,56,5405,261,12029,520,14499,652,49102,1739,7533,239,2874,174,3451,156,3565,168,868,20,5541,225,2022,64,3369,182,9274,223,209653,9148
2020-08-02,37272,1847,51080,2622,1782,56,5405,261,12117,520,14515,653,49145,1731,7535,239,2879,174,3463,156,3565,168,875,20,5541,225,2030,64,3370,182,9319,223,209893,9141
2020-08-03,37272,1847,51156,2622,1782,56,5436,261,12142,520,14567,653,49435,1738,7543,239,2881,174,3467,156,3573,168,877,20,5541,225,2031,64,3371,182,9328,223,210402,9148
2020-08-04,37455,1847,51279,2623,1787,56,5444,261,12199,521,14634,653,49727,1744,7583,239,2886,174,3494,156,3579,168,880,20,5548,225,2034,64,3385,182,9367,223,211281,9156
2020-08-05,37514,1847,51377,2624,1790,56,5461,261,12254,523,14671,654,50068,1751,7618,239,2891,174,3516,157,3588,168,889,20,5560,225,2036,64,3390,182,9399,223,212022,9168
2020-08-06,37574,1851,51582,2624,1792,56,5486,261,12310,523,14723,654,50493,1752,7667,239,2897,174,3534,158,3597,168,907,20,5570,225,2044,64,3401,182,9490,224,213067,9175
2020-08-07,37642,1852,51710,2626,1798,56,5530,262,12468,524,14847,654,50937,1755,7713,239,2900,174,3569,158,3600,168,910,20,5590,225,2044,64,3413,182,9543,224,214214,9183
2020-08-08,37749,1858,51794,2626,1800,56,5610,262,12602,524,14911,654,51330,1759,7748,239,2913,174,3578,158,3622,169,930,20,5632,225,2057,64,3420,183,9640,224,215336,9195
2020-08-09,37767,1858,51803,2626,1803,56,5664,262,12703,525,14943,654,51561,1759,7771,239,2926,174,3586,158,3626,169,936,20,5632,225,2057,64,3425,183,9688,224,215891,9196
2020-08-10,37791,1858,51848,2627,1804,56,5678,262,12737,525,14974,654,51762,1759,7832,239,2930,174,3588,158,3627,169,938,20,5632,225,2061,64,3427,183,9698,224,216327,9197
2020-08-11,37896,1858,51946,2627,1809,56,5691,262,12815,525,15056,654,52175,1763,7871,239,2942,174,3620,158,3634,169,943,20,5655,225,2068,64,3432,183,9740,224,217293,9201
2020-08-12,37975,1859,52182,2627,1819,56,5748,262,12876,526,15122,655,52588,1765,7935,239,2952,174,3675,158,3642,169,952,20,5673,225,2076,64,3453,184,9851,224,218519,9207
2020-08-13,38162,1859,52436,2627,1822,56,5774,262,13008,526,15176,655,53123,1767,7974,240,2955,174,3714,158,3651,169,954,20,5685,225,2090,64,3464,185,9976,224,219964,9211
2020-08-14,38270,1859,52645,2631,1828,56,5821,264,13187,526,15318,656,53661,1772,8059,241,2976,174,3744,158,3683,169,959,20,5705,225,2099,64,3482,186,9976,224,221413,9225
2020-08-15,38422,1859,52847,2631,1835,56,5850,264,13390,526,15343,656,54106,1777,8095,242,2986,174,3768,158,3695,169,970,20,5719,225,2114,64,3492,186,10196,224,222828,9231
2020-08-16,38480,1859,52888,2631,1841,56,5878,264,13433,526,15384,656,54390,1777,8121,242,3000,174,3782,158,3697,169,972,20,5730,225,2123,64,3496,186,10238,224,223453,9231
2020-08-17,38512,1859,52984,2631,1845,56,5887,264,13486,526,15428,656,54653,1778,8148,242,3000,174,3790,158,3703,169,973,20,5731,225,2123,64,3498,186,10253,224,224014,9232
2020-08-18,38740,1859,53298,2631,1851,56,5901,264,13675,528,15482,656,55049,1780,8224,242,3008,174,3807,158,3708,169,975,20,5736,225,2126,64,3505,186,10319,224,225404,9236
2020-08-19,38968,1860,53707,2631,1865,56,5927,264,13842,528,15562,656,55375,1783,8334,242,3017,174,3825,160,3728,169,978,20,5749,226,2134,64,3509,186,10394,224,226914,9243
2020-08-20,39227,1860,54101,2631,1877,56,5954,264,14029,528,15724,658,55770,1790,8427,242,3039,174,3851,160,3740,169,981,20,5769,226,2146,65,3523,186,10463,224,228621,9253
2020-08-21,39493,1863,54416,2632,1885,56,5989,265,14260,528,15885,659,55936,1790,8514,242,3040,174,3872,160,3758,169,984,20,5788,225,2155,65,3530,186,10543,226,230048,9260
2020-08-22,39829,1862,54817,2633,1893,56,6019,265,14409,528,16019,659,56599,1797,8602,242,3055,174,3890,160,3784,169,989,20,5806,225,2170,65,3546,186,10655,226,232082,9267
2020-08-23,40031,1863,54858,2633,1900,56,6019,265,14587,528,16055,659,56784,1798,8615,242,3071,174,3902,160,3787,169,992,20,5820,225,2179,65,3547,186,10717,226,232864,9269
2020-08-24,40173,1863,55061,2634,1905,56,6054,265,14657,528,16096,660,56916,1798,8667,243,3076,174,3904,160,3787,169,994,20,5824,225,2180,65,3553,186,10728,226,233575,9272
2020-08-25,40358,1863,55414,2634,1913,56,6083,265,14809,528,16191,661,57213,1802,8713,243,3080,174,3927,160,3795,169,997,20,5827,225,2183,65,3564,186,10786,226,234853,9277
2020-08-26,40685,1862,55767,2635,1924,56,6110,265,15025,528,16274,662,57560,1804,8759,243,3085,174,3961,160,3818,169,998,20,5841,225,2199,65,3571,186,10852,226,236429,9280
2020-08-27,40964,1863,56191,2635,1944,56,6137,266,15105,529,16419,661,57826,1807,8842,243,3095,174,3981,160,3839,169,999,20,5866,225,2209,65,3585,186,10934,226,237936,9285
2020-08-28,41248,1864,56639,2636,1958,56,6167,266,15232,530,16506,660,58187,1808,8874,243,3112,174,4000,160,3857,169,1001,20,5905,225,2218,65,3592,186,11011,226,239507,9288
2020-08-29,41574,1862,56972,2638,1980,56,6193,266,15351,530,16628,660,58452,1809,8928,243,3126,174,4015,160,3867,169,1004,20,5934,225,2226,65,3611,186,11125,226,240986,9289
2020-08-30,41773,1866,57059,2638,1992,56,6227,266,15399,531,16690,661,58584,1809,9008,243,3153,174,4022,160,3869,169,1007,20,5949,225,2232,65,3624,186,11183,226,241771,9295
2020-08-31,41942,1866,57219,2639,1993,56,6250,266,15431,531,16741,661,58687,1811,9053,243,3154,174,4029,160,3870,169,1008,20,5953,225,2234,65,3628,186,11189,226,242381,9298
2020-09-01,42119,1866,57485,2640,2002,56,6262,266,15596,532,16795,661,59023,1812,9105,243,3151,174,4045,160,3871,169,1008,20,5990,226,2244,65,3637,186,11266,226,243599,9302
2020-09-02,42367,1867,57781,2641,2015,57,6313,267,15692,534,16888,662,59263,1817,9168,243,3157,174,4064,160,3875,169,1009,20,6022,225,2250,65,3644,186,11347,226,244855,9313
2020-09-03,42614,1868,58077,2641,2037,58,6351,267,15776,534,16992,665,59527,1819,9212,243,3168,174,4091,161,3898,169,1015,20,6065,225,2260,65,3652,186,11431,226,246166,9321
2020-09-04,42925,1865,58385,2641,2048,58,6396,267,15912,535,17133,665,59811,1821,9260,243,3176,174,4107,161,3902,169,1019,20,6095,225,2263,66,3658,186,11529,226,247619,9322
2020-09-05,43259,1865,58692,2641,2056,58,6451,267,15978,535,17210,665,60085,1823,9305,243,3189,174,4115,161,3923,169,1023,20,6138,225,2274,66,3676,186,11623,226,248997,9324
2020-09-06,43423,1865,59014,2642,2067,58,6486,267,16098,535,17236,665,60257,1823,9324,243,3197,174,4120,161,3927,169,1023,20,6147,225,2281,66,3682,186,11703,226,249985,9325
2020-09-07,43592,1865,59298,2642,2070,58,6486,267,16145,535,17284,665,60433,1823,9364,243,3199,174,4126,161,3931,169,1023,20,6149,225,2282,66,3690,186,11727,226,250799,9325
2020-09-08,43861,1867,59804,2643,2073,58,6527,267,16278,535,17372,665,60695,1823,9434,243,3199,174,4150,161,3943,169,1034,20,6155,225,2287,66,3694,187,11792,226,252298,9329
2020-09-09,44118,1867,60121,2644,2085,58,6527,267,16375,536,17454,665,60878,1826,9483,245,3208,175,4168,161,3959,169,1038,20,6191,225,2290,66,3700,188,11879,226,253474,9338
2020-09-10,44396,1868,60759,2644,2094,58,6626,267,16500,537,17572,665,61201,1827,9560,245,3218,175,4197,161,3966,169,1044,20,6255,225,2305,66,3722,188,11951,226,255366,9341
2020-09-11,44618,1868,61158,2644,2109,58,6699,267,16603,537,17645,665,61505,1828,9623,245,3222,175,4207,161,3984,169,1046,20,6282,225,2314,66,3745,188,12090,226,256850,9342
2020-09-12,44903,1867,61561,2645,2117,58,6770,267,16714,538,17783,667,61820,1828,9649,246,3225,175,4218,161,4003,169,1055,20,6351,226,2330,66,3765,188,12216,226,258480,9347
2020-09-13,45070,1867,61705,2645,2130,58,6814,268,16808,539,17844,667,62079,1828,9717,246,3243,175,4222,161,4005,169,1055,20,6365,226,2337,66,3780,188,12254,226,259428,9349
2020-09-14,45254,1867,61974,2645,2135,58,6825,268,16877,539,17911,667,62261,1829,9764,246,3245,175,4231,161,4006,169,1055,20,6403,226,2355,66,3790,188,12269,226,260355,9350
2020-09-15,45323,1868,62401,2647,2137,59,6846,268,16985,540,18023,667,62725,1834,9795,247,3234,175,4255,161,4016,169,1064,20,6430,226,2359,66,3815,189,12354,226,261762,9362
2020-09-16,45755,1868,62809,2647,2159,59,6917,268,17084,542,18160,667,63155,1837,9859,247,3240,175,4288,161,4033,169,1074,20,6467,226,2366,66,3834,189,12463,227,263663,9368
2020-09-17,46041,1868,63632,2647,2174,59,6964,268,17233,542,18256,667,63565,1839,9929,247,3262,176,4311,161,4051,169,1081,20,6522,226,2378,66,3865,189,12593,227,265857,9371
2020-09-18,46428,1869,63918,2648,2177,59,7010,269,17342,543,18529,667,64084,1842,9990,247,3214,176,4350,161,4060,169,1093,20,6581,226,2380,66,3884,189,12733,227,267773,9378
2020-09-19,46779,1871,64395,2648,2191,59,7075,269,17516,543,18701,669,64692,1844,10037,247,3227,176,4384,161,4079,169,1105,20,6658,226,2393,66,3919,189,12919,227,270070,9384
2020-09-20,46935,1871,64625,2648,2215,59,7150,269,17586,544,18791,669,65078,1845,10085,247,3232,176,4405,161,4088,169,1105,20,6679,226,2443,66,3933,189,13065,227,271415,9386
2020-09-21,47107,1871,64919,2648,2219,59,7165,269,17637,544,18900,669,65232,1845,10116,247,3234,176,4421,161,4090,169,1105,20,6692,226,2453,66,3938,189,13109,227,272337,9386
2020-09-22,47353,1871,65331,2651,2223,59,7230,269,17757,545,18964,670,65753,1848,10183,248,3234,176,4460,161,4101,169,1123,20,6774,227,2457,66,3958,189,13257,227,274158,9396
2020-09-23,47590,1874,65746,2653,2250,59,7291,269,17870,545,19137,670,66191,1854,10230,248,3252,176,4498,161,4116,169,1131,20,6816,227,2470,67,3965,189,13374,228,275927,9409
2020-09-24,47883,1875,66192,2654,2262,59,7369,269,18035,546,19315,678,66680,1859,10282,248,3262,176,4540,161,4150,169,1136,20,6887,229,2497,67,4007,190,13573,228,278070,9428
2020-09-25,48135,1876,66557,2657,2280,59,7431,269,18221,548,19443,681,67278,1861,10381,251,3270,176,4603,161,4178,169,1144,20,6942,230,2525,67,4024,190,13811,228,280223,9443
2020-09-26,48467,1877,67005,2657,2320,59,7550,269,18396,549,19748,683,67903,1863,10439,251,3288,176,4656,161,4203,169,1151,20,7052,233,2536,67,4046,190,13970,228,282730,9452
2020-09-27,48467,1877,67255,2659,2366,59,7638,269,18607,550,19772,683,68395,1864,10483,252,3295,176,4671,161,4214,169,1151,20,7095,233,2569,67,4049,190,14113,228,284140,9457
2020-09-28,48900,1880,67356,2659,2372,59,7690,269,18644,550,19772,683,68720,1865,10554,251,3295,176,4686,161,4217,169,1151,20,7122,233,2603,67,4054,190,14196,228,285332,9460
2020-09-29,49208,1880,67763,2664,2385,59,7750,269,18788,551,20026,682,69284,1867,10630,253,3297,177,4724,161,4251,169,1168,20,7151,233,2613,68,4056,190,14327,228,287421,9471
2020-09-30,49421,1885,67996,2664,2435,59,7837,270,18945,551,20162,684,69822,1872,10698,254,3297,177,4772,162,4258,169,1180,20,7202,234,2619,68,4075,191,14500,228,289219,9488
2020-10-01,49707,1886,68482,2663,2471,59,7896,271,19089,551,20290,685,70580,1880,10740,255,3315,177,4821,162,4300,169,1195,20,7288,235,2654,68,4106,191,14788,228,291722,9500
2020-10-02,50105,1887,68853,2664,2511,59,7984,271,19324,551,20491,689,71357,1879,10863,255,3338,177,4848,162,4326,169,1203,20,7349,237,2677,68,4134,191,15032,229,294395,9508
2020-10-03,50240,1888,69186,2672,2557,59,8064,271,19616,552,20777,690,72063,1882,10975,256,3380,177,4898,162,4369,169,1220,20,7391,239,2693,68,4158,191,15371,231,296958,9527
2020-10-04,50763,1888,69486,2671,2598,59,8176,272,19788,552,20954,690,72581,1884,11015,256,3380,177,4914,162,4393,169,1220,20,7459,239,2736,68,4200,191,15574,231,299237,9529
2020-10-05,50934,1890,69631,2672,2619,59,8241,273,19978,553,21075,690,72995,1884,11086,256,3380,177,4938,162,4421,169,1220,20,7502,239,2746,68,4205,191,15648,231,300619,9534
2020-10-06,51191,1894,70006,2674,2632,59,8339,273,20113,556,21284,691,73842,1886,11215,256,3449,177,4978,162,4447,169,1293,20,7533,239,2764,68,4223,191,15949,231,303258,9546
2020-10-07,51579,1894,70381,2680,2702,59,8451,274,20355,556,21456,691,74615,1891,11308,256,3489,177,5032,162,4483,169,1304,20,7679,243,2774,68,4241,191,16237,231,306086,9562
2020-10-08,52231,1898,71034,2681,2805,60,8544,276,20662,557,21743,694,75671,1894,11499,256,3499,177,5076,162,4561,169,1332,20,7797,243,2815,68,4260,191,16615,232,310144,9578
2020-10-09,52814,1898,71759,2684,2880,60,8669,276,21092,557,22142,695,76796,1900,11602,256,3551,177,5155,162,4603,169,1344,20,7987,243,2832,68,4322,191,17112,233,314660,9589
2020-10-10,53344,1899,72402,2684,2880,60,8814,277,21586,559,22490,697,78218,1905,11808,256,3586,177,5209,162,4692,169,1373,20,8203,246,2858,68,4363,191,17555,234,319381,9604
2020-10-11,53868,1901,72843,2685,3058,60,8912,277,21911,560,22662,697,79179,1911,11904,256,3673,177,5235,162,4740,169,1373,20,8340,247,2903,68,4435,191,17828,234,322864,9615
2020-10-12,54345,1901,73186,2685,3080,61,8963,277,22039,562,22662,697,79981,1913,12106,256,3703,177,5260,162,4771,169,1373,20,8413,248,2932,68,4442,191,18075,234,325331,9621
2020-10-13,54939,1903,73788,2689,3113,61,9040,277,22310,562,23265,696,81192,1917,12235,257,3720,177,5325,162,4794,169,1416,20,8559,248,2942,68,4488,194,18327,234,329453,9634
2020-10-14,55639,1909,74459,2693,3166,62,9153,278,22819,567,23560,702,82356,1923,12410,260,3867,177,5391,163,4997,172,1472,20,8742,250,2966,68,4555,196,19033,237,334585,9677
2020-10-15,56488,1919,75535,2700,3274,62,9288,278,23481,569,24009,706,84161,1931,12647,260,3960,177,5456,163,5098,172,1532,20,9122,252,2999,68,4636,196,19537,237,341223,9710
2020-10-16,57455,1920,76680,2702,3377,62,9456,278,24151,571,24724,710,86315,1936,12884,262,4013,177,5510,163,5211,172,1590,20,9335,255,3057,71,4711,196,20088,239,348557,9734
2020-10-17,58653,1927,77904,2714,3477,62,9457,278,25033,572,25287,710,88204,1943,13227,263,4221,177,5600,163,5305,172,1590,20,9738,257,3134,71,4793,198,20764,240,356387,9767
2020-10-18,59353,1928,78940,2713,3564,63,9750,280,25440,573,25581,714,89681,1943,13404,263,4356,177,5626,163,5414,172,1680,21,9935,257,3242,71,4881,199,21127,240,361974,9777
2020-10-19,60053,1932,79735,2714,3590,63,9910,280,25776,576,25852,713,90544,1946,13652,263,4415,177,5714,163,5451,172,1705,21,10275,258,3285,71,4913,199,21429,241,366299,9789
2020-10-20,60721,1936,80880,2720,3630,63,10003,281,26558,584,26356,717,92694,1963,13957,265,4437,177,5879,163,5574,174,1719,21,10520,259,3334,71,5000,201,21905,241,373167,9836
2020-10-21,61694,1946,82102,2726,3725,63,10207,281,27307,590,26611,719,94883,1970,14199,265,4467,177,5989,163,5670,175,1790,21,10906,264,3387,71,5098,201,22727,243,380762,9875
2020-10-22,63132,1950,84090,2729,3868,63,10407,282,28440,593,27426,720,97507,1980,14640,265,4625,178,6147,163,5948,177,1877,21,11507,269,3487,71,5250,201,23698,243,392049,9905
2020-10-23,65085,1957,86054,2734,3876,63,10683,283,29398,600,28078,723,100247,1994,15186,267,4856,178,6284,164,6020,179,1936,21,12071,272,3642,73,5394,201,24481,245,403291,9954
2020-10-24,66838,1966,88319,2740,4152,64,11043,283,31128,607,29101,728,104617,2008,15781,268,5008,178,6520,164,6309,180,2056,21,12453,273,3760,73,5546,202,25374,248,418005,10003
2020-10-25,68482,1970,89986,2742,4342,64,11346,283,32227,609,29640,729,107759,2017,16118,268,5289,178,6662,164,6463,184,2133,21,13237,278,3905,74,5802,202,25790,249,429181,10032
2020-10-26,69601,1972,91569,2746,4407,64,11514,283,32852,611,30476,732,110516,2024,16549,268,5321,179,6777,167,6515,184,2165,21,13653,278,3994,74,5863,203,26094,250,437866,10056
2020-10-27,70792,1977,93290,2756,4495,66,11853,283,34200,617,31038,733,114194,2031,17090,268,5455,180,6942,167,6599,186,2200,22,14001,283,4166,75,5936,203,27024,251,449275,10098
2020-10-28,72884,1986,96420,2772,4689,66,12153,283,35688,629,32244,735,117278,2059,17789,276,5576,181,7218,167,6957,187,2328,22,14409,292,4342,74,6200,203,28064,251,464239,10183
2020-10-29,75164,2000,98998,2789,4891,69,12557,283,37385,637,32980,737,122051,2083,18420,279,5806,183,7499,170,7208,188,2484,22,15380,300,4582,76,6383,203,29225,253,481013,10272
2020-10-30,77477,2010,102074,2797,5100,70,12947,283,39093,641,34228,743,127447,2102,19108,281,6142,186,7716,174,7468,190,2616,23,16493,315,4804,77,6625,204,30356,253,499694,10349
2020-10-31,80233,2022,104764,2804,5331,72,13357,283,40998,646,35942,748,132479,2155,20103,285,6249,188,8028,175,7831,193,2782,23,17196,317,5067,79,6953,207,31440,255,518753,10452
2020-11-01,82334,2029,107044,2808,5522,72,13753,285,42072,654,36949,748,136116,2145,20574,285,6740,192,8293,175,8088,195,2865,23,17974,322,5204,79,7171,208,32231,261,532930,10481
2020-11-02,83594,2031,109349,2809,5673,73,14036,288,43379,663,37919,762,139485,2154,20962,287,7029,192,8456,177,8326,197,2918,23,18747,324,5323,81,7238,208,32593,261,545027,10530
2020-11-03,85442,2045,112301,2816,5901,77,14288,291,44598,683,38862,763,144137,2193,21787,294,7228,194,8600,183,8691,203,2917,23,19489,342,5423,83,7405,210,33310,261,560379,10661
2020-11-04,87685,2056,115869,2843,6108,78,14744,294,45819,699,39964,782,148699,2236,22466,301,7313,194,8833,190,8761,203,3076,23,20140,350,5582,86,7711,212,34823,265,577593,10812
2020-11-05,90734,2072,119505,2851,6365,80,15132,296,47477,710,41209,791,153766,2267,23391,307,7564,195,9096,192,9062,204,3271,23,21119,365,5897,88,8024,217,35971,272,597583,10930
2020-11-06,93264,2092,123225,2885,6599,81,15778,298,49327,729,42707,802,159027,2297,24320,310,7765,198,9316,194,9560,208,3415,24,22957,386,6170,88,8302,217,37357,287,619089,11096
2020-11-07,96602,2107,127614,2905,6872,85,16263,298,51438,741,44009,811,164919,2334,25342,316,8130,199,9590,200,10086,213,3580,29,24255,389,6482,89,8620,218,38686,292,642488,11226
2020-11-08,99046,2111,130635,2913,7067,86,16854,304,53161,753,45002,817,168205,2341,25721,316,8327,199,9823,200,10296,215,3693,29,25878,402,6583,90,8831,219,39383,294,658505,11289
2020-11-09,100752,2120,133808,2923,7133,87,17139,304,54043,758,46322,823,171631,2355,26352,320,8426,201,10000,201,10516,217,3745,30,26680,405,6734,93,8963,220,39624,295,671868,11352
2020-11-10,102293,2133,136636,2953,7254,88,17437,304,55744,786,47319,834,175951,2395,27237,325,8640,202,10214,205,10790,223,3786,31,27339,409,6928,93,9172,224,40460,301,687200,11506
2020-11-11,104707,2167,139914,3018,7367,89,17860,305,57466,809,48400,843,180523,2465,28034,334,9012,205,10466,208,11031,226,3910,34,28507,426,7101,96,9375,228,42014,314,705687,11767
2020-11-12,107649,2189,144705,3050,7565,89,18255,308,59371,821,50167,868,185138,2517,28958,342,9276,207,10715,213,11483,229,3910,34,30100,458,7367,102,9748,234,43146,321,727553,11982
2020-11-13,110633,2225,148882,3081,7803,93,18914,310,61055,836,51770,882,191011,2581,30250,352,9452,208,10924,213,11852,230,4165,36,31538,474,7641,105,10099,240,45106,334,751095,12200
2020-11-14,113539,2242,153156,3108,7965,94,19450,311,62462,854,53883,897,196363,2616,31397,356,9713,211,11203,218,12205,232,4289,37,33007,502,7941,105,10549,247,46434,348,773556,12378
2020-11-15,115670,2258,156421,3133,8153,94,19977,311,64393,864,55325,903,200063,2623,32013,362,10110,214,11361,219,12636,238,4397,38,33924,511,8040,105,10755,254,47265,358,790503,12485
